"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.38265144436449e-38,-4.58856544640831,0.004,0.128,3.26756819080147e-34,"0","CD33"
2.56329118485155e-38,-0.894183617534338,0.82,0.879,3.51529753090542e-34,"0","MYL6"
2.85078354970352e-38,-1.72499124164787,0.124,0.32,3.9095645600634e-34,"0","CAPG"
3.71937380751661e-38,-1.4025484046297,0.271,0.483,5.10074923962828e-34,"0","C1orf162"
4.22151313396205e-38,-1.59818579734116,0.165,0.371,5.78938311191556e-34,"0","CNPY3"
5.24622301168885e-38,-3.02259368746707,0.022,0.168,7.19467023823009e-34,"0","CPPED1"
1.11410245639516e-37,-2.29955051863791,0.062,0.234,1.52788010870032e-33,"0","IFNGR2"
2.00762791859846e-37,-2.49993138081737,0.036,0.196,2.75326092756593e-33,"0","EIF4EBP1"
2.46571022348806e-37,-3.54068201201565,0.018,0.153,3.38147500049153e-33,"0","LAT2"
5.2340138831644e-37,-5.37615980552834,0.005,0.121,7.17792663937166e-33,"0","VPREB3"
1.49608678548203e-36,-5.72751210658367,0.003,0.119,2.05173341761005e-32,"0","RBP7"
1.62039008818127e-36,-1.29271225598629,0.381,0.556,2.22220296693179e-32,"0","TSPO"
2.17857904431741e-36,-1.41260064641995,0.158,0.357,2.9877033013769e-32,"0","CTSC"
3.03563565536366e-36,-3.45594543293669,0.015,0.147,4.16307073776573e-32,"0","SLC31A2"
3.74911182021944e-36,1.38535782506258,0.411,0.199,5.14153195024895e-32,"0","DNAJB1"
7.62099898036092e-36,1.37747744407261,0.342,0.124,1.0451438001667e-31,"0","LAT"
7.85060617953568e-36,-0.765022572522998,0.823,0.883,1.07663213146152e-31,"0","SERF2"
1.39938433583298e-35,2.20393639118323,0.24,0.067,1.91911567816135e-31,"0","SUSD3"
1.91527699415619e-35,-1.79734802298955,0.105,0.289,2.62661086978579e-31,"0","BID"
3.2841712507915e-35,-6.77999281174038,0.001,0.108,4.50391245333547e-31,"0","VSTM1"
3.72141408491793e-35,-3.76165762238839,0.013,0.139,5.10354727605645e-31,"0","BTK"
